flowcell	lane	barcode	individual
FC0A03F09	L006	D	SM90370
FC0B03F03	L001	D	SM90370
FC0A03F09	L006	E	SM03231
FC0B03F03	L001	E	SM03231
FC0A03F09	L006	F	SM79279
FC0B03F03	L001	F	SM79279
FC0A03F0C	L007	D	SM14701
FC0B03F00	L008	D	SM14701
FC0C03F00	L004	D	SM14701
FC0A03F0C	L007	E	SM73162
FC0B03F00	L008	E	SM73162
FC0C03F00	L004	E	SM73162
FC0A03F0C	L007	F	SM79371
FC0B03F00	L008	F	SM79371
FC0C03F00	L004	F	SM79371
FC0A03F0F	L004	J	SM07279
FC0A03F0F	L004	K	SM04710
FC0A03F0F	L004	L	SM63089
FC0A03F0C	L007	J	SM18469
FC0B03F00	L001	J	SM18469
FC0A03F0C	L007	K	SM64466
FC0B03F00	L001	K	SM64466
FC0A03F0C	L007	L	SM78901
FC0B03F00	L001	L	SM78901
FC0A03F06	L004	D	SM88283
FC0A03F06	L004	E	SM91580
FC0A03F06	L004	F	SM19841
FC0A03F00	L002	D	SM53889
FC0B03F00	L004	D	SM53889
FC0A03F00	L002	E	SM04612
FC0B03F00	L004	E	SM04612
FC0A03F00	L002	F	SM80187
FC0B03F00	L004	F	SM80187
FC0A03F0F	L006	G	SM50684
FC0A03F0F	L006	H	SM60147
FC0A03F0F	L006	I	SM06165
FC0A03F09	L003	D	SM61721
FC0A03F09	L003	E	SM02652
FC0A03F09	L003	F	SM04256
FC0A03F0F	L002	J	SM82571
FC0B03F03	L001	J	SM82571
FC0A03F0F	L002	K	SM42456
FC0B03F03	L001	K	SM42456
FC0A03F0F	L002	L	SM13801
FC0B03F03	L001	L	SM13801
FC0A03F09	L001	D	SM25556
FC0A03F09	L001	E	SM50255
FC0A03F09	L001	F	SM64268
FC0A03F12	L002	D	SM07886
FC0B03F00	L002	D	SM07886
FC0A03F12	L002	E	SM79970
FC0B03F00	L002	E	SM79970
FC0A03F12	L002	F	SM91858
FC0B03F00	L002	F	SM91858
FC0A03F06	L005	G	SM80522
FC0A03F06	L005	H	SM82879
FC0A03F06	L005	I	SM44285
FC0A03F0F	L001	J	SM89461
FC0A03F0F	L001	K	SM93536
FC0A03F0F	L001	L	SM81532
FC0A03F09	L007	G	SM16661
FC0A03F09	L007	H	SM50810
FC0A03F09	L007	I	SM38510
FC0A03F0C	L003	D	SM68028
FC0A03F0C	L003	E	SM24790
FC0A03F0C	L003	F	SM05005
FC0A03F06	L002	J	SM58272
FC0A03F06	L002	K	SM48704
FC0A03F06	L002	L	SM99172
FC0A03F03	L003	G	SM59700
FC0B03F03	L002	G	SM59700
FC0A03F03	L003	H	SM46735
FC0B03F03	L002	H	SM46735
FC0A03F03	L003	I	SM82840
FC0B03F03	L002	I	SM82840
FC0A03F0C	L002	D	SM05852
FC0A03F0C	L002	E	SM05241
FC0A03F0C	L002	F	SM63723
FC0A03F0C	L008	J	SM03494
FC0A03F0C	L008	K	SM68166
FC0A03F0C	L008	L	SM87361
FC0A03F09	L005	J	SM30102
FC0A03F09	L005	K	SM12253
FC0A03F09	L005	L	SM82239
FC0A03F00	L005	J	SM66468
FC0A03F00	L005	K	SM40018
FC0A03F00	L005	L	SM14870
FC0A03F03	L007	J	SM55833
FC0A03F03	L007	K	SM74189
FC0A03F03	L007	L	SM55320
FC0A03F12	L001	D	SM13732
FC0A03F12	L001	E	SM54479
FC0A03F12	L001	F	SM08248
FC0A03F00	L005	G	SM54417
FC0A03F00	L005	H	SM20468
FC0A03F00	L005	I	SM96244
FC0A03F06	L006	J	SM58553
FC0A03F06	L006	K	SM56504
FC0A03F06	L006	L	SM89971
FC0A03F06	L001	G	SM03950
FC0B03F00	L002	G	SM03950
FC0C03F00	L003	G	SM03950
FC0A03F06	L001	H	SM65094
FC0B03F00	L002	H	SM65094
FC0C03F00	L003	H	SM65094
FC0A03F06	L001	I	SM42533
FC0B03F00	L002	I	SM42533
FC0C03F00	L003	I	SM42533
FC0A03F0F	L001	D	SM10295
FC0A03F0F	L001	E	SM46204
FC0A03F0F	L001	F	SM09219
FC0A03F0C	L001	A	SM47089
FC0A03F0C	L001	B	SM90673
FC0A03F0C	L001	C	SM03851
FC0A03F03	L004	D	SM45598
FC0B03F00	L001	D	SM45598
FC0C03F00	L001	D	SM45598
FC0A03F03	L004	E	SM23319
FC0B03F00	L001	E	SM23319
FC0C03F00	L001	E	SM23319
FC0A03F03	L004	F	SM01307
FC0B03F00	L001	F	SM01307
FC0C03F00	L001	F	SM01307
FC0A03F0C	L005	G	SM47947
FC0A03F0C	L005	H	SM09243
FC0A03F0C	L005	I	SM78197
FC0A03F09	L004	J	SM27261
FC0A03F09	L004	K	SM00424
FC0A03F09	L004	L	SM26843
FC0A03F03	L004	J	SM98039
FC0A03F03	L004	K	SM00942
FC0A03F03	L004	L	SM38439
FC0A03F00	L006	J	SM18598
FC0B03F00	L003	J	SM18598
FC0C03F00	L001	J	SM18598
FC0A03F00	L006	K	SM24510
FC0B03F00	L003	K	SM24510
FC0C03F00	L001	K	SM24510
FC0A03F00	L006	L	SM59513
FC0B03F00	L003	L	SM59513
FC0C03F00	L001	L	SM59513
FC0A03F03	L006	D	SM62482
FC0A03F03	L006	E	SM45148
FC0A03F03	L006	F	SM92731
FC0A03F12	L001	J	SM17061
FC0A03F12	L001	K	SM03662
FC0A03F12	L001	L	SM27279
FC0A03F00	L003	G	SM43911
FC0A03F00	L003	H	SM62046
FC0A03F00	L003	I	SM38356
FC0A03F09	L008	A	SM72510
FC0A03F09	L008	B	SM83351
FC0A03F09	L008	C	SM42859
FC0A03F03	L008	G	SM77729
FC0A03F03	L008	H	SM10592
FC0A03F03	L008	I	SM13446
FC0A03F06	L003	D	SM20501
FC0A03F06	L003	E	SM49361
FC0A03F06	L003	F	SM19258
FC0A03F0C	L001	J	SM29206
FC0A03F0C	L001	K	SM41405
FC0A03F0C	L001	L	SM66629
FC0A03F0F	L004	G	SM31020
FC0A03F0F	L004	H	SM98941
FC0A03F0F	L004	I	SM24110
FC0A03F0C	L006	A	SM48820
FC0A03F0C	L006	B	SM55023
FC0A03F0C	L006	C	SM86927
FC0A03F0F	L003	D	SM17333
FC0A03F0F	L003	E	SM78802
FC0A03F0F	L003	F	SM02694
FC0A03F03	L008	J	SM10214
FC0A03F03	L008	K	SM92035
FC0A03F03	L008	L	SM09596
FC0A03F00	L002	A	SM55081
FC0B03F00	L007	A	SM55081
FC0C03F00	L003	A	SM55081
FC0A03F00	L002	B	SM39242
FC0B03F00	L007	B	SM39242
FC0C03F00	L003	B	SM39242
FC0A03F00	L002	C	SM72192
FC0B03F00	L007	C	SM72192
FC0C03F00	L003	C	SM72192
FC0A03F09	L008	D	SM97109
FC0A03F09	L008	E	SM18650
FC0A03F09	L008	F	SM77474
FC0A03F03	L006	J	SM39064
FC0A03F03	L006	K	SM83489
FC0A03F03	L006	L	SM46474
FC0A03F06	L007	A	SM32514
FC0B03F03	L003	A	SM32514
FC0A03F06	L007	B	SM58303
FC0B03F03	L003	B	SM58303
FC0A03F06	L007	C	SM82940
FC0B03F03	L003	C	SM82940
FC0A03F00	L004	G	SM83499
FC0B03F00	L006	G	SM83499
FC0A03F00	L004	H	SM69365
FC0B03F00	L006	H	SM69365
FC0A03F00	L004	I	SM07584
FC0B03F00	L006	I	SM07584
FC0A03F06	L002	A	SM53560
FC0B03F00	L003	A	SM53560
FC0A03F06	L002	B	SM01105
FC0B03F00	L003	B	SM01105
FC0A03F06	L002	C	SM54687
FC0B03F00	L003	C	SM54687
FC0A03F06	L005	J	SM57842
FC0A03F06	L005	K	SM26738
FC0A03F06	L005	L	SM48706
FC0A03F09	L002	J	SM11935
FC0A03F09	L002	K	SM24309
FC0A03F09	L002	L	SM14237
FC0A03F03	L005	A	SM92091
FC0A03F03	L005	B	SM58480
FC0A03F03	L005	C	SM52269
FC0A03F0F	L002	D	SM55274
FC0A03F0F	L002	E	SM56586
FC0A03F0F	L002	F	SM22904
FC0A03F09	L006	G	SM59435
FC0B03F00	L007	G	SM59435
FC0A03F09	L006	H	SM44616
FC0B03F00	L007	H	SM44616
FC0A03F09	L006	I	SM68597
FC0B03F00	L007	I	SM68597
FC0A03F03	L002	J	SM46579
FC0A03F03	L002	K	SM60613
FC0A03F03	L002	L	SM82775
